id,date,stop_name,gtfs_longitude,gtfs_latitude,entries,exits
-73.91203440.775036,2020-08-01,Astoria - Ditmars Blvd,-73.912034,40.775036,2599,3085
-73.98413940.759901,2020-08-01,49 St,-73.984139,40.759901,1556,2024
-73.95343140.70687,2020-08-01,Hewes St,-73.953431,40.70687,579,554
-73.95775740.708359,2020-08-01,Marcy Av,-73.957757,40.708359,1904,2522
-73.99391540.72028,2020-08-01,Bowery,-73.993915,40.72028,814,1078
-74.01105640.706476,2020-08-01,Broad St,-74.011056,40.706476,551,493
-73.88960140.711396,2020-08-01,Middle Village - Metropolitan Av,-73.889601,40.711396,623,902
-73.89587740.706186,2020-08-01,Fresh Pond Rd,-73.895877,40.706186,1080,1333
-73.90307740.704423,2020-08-01,Forest Av,-73.903077,40.704423,742,786
-73.9077440.702762,2020-08-01,Seneca Av,-73.90774,40.702762,535,625
-73.91971140.698664,2020-08-01,Knickerbocker Av,-73.919711,40.698664,907,977
-73.92739740.697857,2020-08-01,Central Av,-73.927397,40.697857,621,675
-73.98612240.732849,2020-08-01,3 Av,-73.986122,40.732849,1125,1166
-73.98162840.730953,2020-08-01,1 Av,-73.981628,40.730953,3600,4717
-73.95687240.717304,2020-08-01,Bedford Av,-73.956872,40.717304,5462,6259
-73.94405340.714565,2020-08-01,Graham Av,-73.944053,40.714565,1520,1648
-73.9406740.711926,2020-08-01,Grand St,-73.94067,40.711926,1209,1546
-73.9398540.707739,2020-08-01,Montrose Av,-73.93985,40.707739,1535,1576
-73.93314740.706152,2020-08-01,Morgan Av,-73.933147,40.706152,1642,1699
-73.92291340.706607,2020-08-01,Jefferson St,-73.922913,40.706607,1705,682
-73.91842540.703811,2020-08-01,DeKalb Av,-73.918425,40.703811,2703,1145
-73.90408440.695602,2020-08-01,Halsey St,-73.904084,40.695602,1780,1501
-73.98869140.745494,2020-08-01,28 St,-73.988691,40.745494,1195,2032
-73.90404640.688764,2020-08-01,Wilson Av,-73.904046,40.688764,1126,1175
-73.90524940.682829,2020-08-01,Bushwick Av - Aberdeen St,-73.905249,40.682829,577,610
-73.90309740.675345,2020-08-01,Atlantic Av,-73.903097,40.675345,370,280
-73.90197540.669367,2020-08-01,Sutter Av,-73.901975,40.669367,805,1532
-73.90057140.664038,2020-08-01,Livonia Av,-73.900571,40.664038,850,927
-73.89923240.658733,2020-08-01,New Lots Av,-73.899232,40.658733,1025,1611
-73.89948540.650573,2020-08-01,E 105 St,-73.899485,40.650573,708,1096
-73.9018540.646654,2020-08-01,Canarsie - Rockaway Pkwy,-73.90185,40.646654,1877,1799
-73.98934440.741303,2020-08-01,23 St,-73.989344,40.741303,2065,1705
-73.95762440.674772,2020-08-01,Park Pl,-73.957624,40.674772,297,465
-73.91989940.868072,2020-08-01,Inwood - 207 St,-73.919899,40.868072,3056,1598
-73.92727140.865491,2020-08-01,Dyckman St,-73.927271,40.865491,1583,108
-73.9341840.859022,2020-08-01,190 St,-73.93418,40.859022,888,623
-73.93796940.851695,2020-08-01,181 St,-73.937969,40.851695,1660,2093
-73.93970440.847391,2020-08-01,175 St,-73.939704,40.847391,2322,1978
-73.93989240.836013,2020-08-01,163 St - Amsterdam Av,-73.939892,40.836013,839,1108
-73.94151440.830518,2020-08-01,155 St,-73.941514,40.830518,544,647
-73.94421640.824783,2020-08-01,145 St,-73.944216,40.824783,4953,6740
-73.94764940.817894,2020-08-01,135 St,-73.947649,40.817894,803,892
-73.95234340.811109,2020-08-01,125 St,-73.952343,40.811109,6113,8619
-73.95488240.805085,2020-08-01,116 St,-73.954882,40.805085,1195,1531
-73.95816140.800603,2020-08-01,Cathedral Pkwy (110 St),-73.958161,40.800603,1221,1083
-73.96145440.796092,2020-08-01,103 St,-73.961454,40.796092,740,966
-73.96469640.791642,2020-08-01,96 St,-73.964696,40.791642,1222,1555
-73.96891640.785868,2020-08-01,86 St,-73.968916,40.785868,1014,1236
-73.97214340.781433,2020-08-01,81 St - Museum of Natural History,-73.972143,40.781433,1169,1344
-73.99262940.730328,2020-08-01,8 St - NYU,-73.992629,40.730328,1804,1857
